Running agent No. 1 -- Type 0
UT Austin Villa 3D Simulation Team Base Code
connecting to TCP localhost:3100
Loading rsg: (scene rsg/agent/nao/nao_hetero.rsg 0)
Running agent No. 2 -- Type 0
UT Austin Villa 3D Simulation Team Base Code
connecting to TCP localhost:3100
Loading rsg: (scene rsg/agent/nao/nao_hetero.rsg 0)
0.02'	 X: 0.00975779	 Y:0.0278719	 vel:  0.0295306	-0.363801
0.04'	 X: -0.00193671	 Y:-0.0112459	 vel:  0.0114115	-0.330113
0.06'	 X: -0.00193671	 Y:-0.0112459	 vel:  0.0114115	-0.330113
0.08'	 X: -0.00193671	 Y:-0.0112459	 vel:  0.0114115	-0.330113
0.1'	 X: -0.0380449	 Y:-0.267824	 vel:  0.270513	-0.441793
0.12'	 X: -0.0380449	 Y:-0.267824	 vel:  0.270513	-0.441793
0.14'	 X: -0.0380449	 Y:-0.267824	 vel:  0.270513	-0.441793
0.16'	 X: -0.0605118	 Y:-0.354362	 vel:  0.359491	-0.33215
0.18'	 X: -0.0605118	 Y:-0.354362	 vel:  0.359491	-0.33215
0.2'	 X: -0.0605118	 Y:-0.354362	 vel:  0.359491	-0.33215
0.22'	 X: 0.190426	 Y:0.938558	 vel:  0.957681	-0.315242
0.24'	 X: 0.190426	 Y:0.938558	 vel:  0.957681	-0.315242
0.26'	 X: 0.190426	 Y:0.938558	 vel:  0.957681	-0.315242
0.28'	 X: 0.270269	 Y:1.24003	 vel:  1.26914	-0.335337
0.3'	 X: 0.270269	 Y:1.24003	 vel:  1.26914	-0.335337
0.32'	 X: 0.270269	 Y:1.24003	 vel:  1.26914	-0.335337
0.34'	 X: 0.341222	 Y:1.43204	 vel:  1.47213	-0.320129
0.36'	 X: 0.341222	 Y:1.43204	 vel:  1.47213	-0.320129
0.38'	 X: 0.341222	 Y:1.43204	 vel:  1.47213	-0.320129
0.4'	 X: 0.384534	 Y:1.59626	 vel:  1.64193	-0.215302
0.42'	 X: 0.384534	 Y:1.59626	 vel:  1.64193	-0.215302
0.44'	 X: 0.384534	 Y:1.59626	 vel:  1.64193	-0.215302
0.46'	 X: 0.289143	 Y:1.29342	 vel:  1.32535	-0.115997
0.48'	 X: 0.289143	 Y:1.29342	 vel:  1.32535	-0.115997
0.5'	 X: 0.289143	 Y:1.29342	 vel:  1.32535	-0.115997
0.52'	 X: 0.271969	 Y:1.20606	 vel:  1.23635	-0.213803
0.54'	 X: 0.271969	 Y:1.20606	 vel:  1.23635	-0.213803
0.56'	 X: 0.271969	 Y:1.20606	 vel:  1.23635	-0.213803
0.58'	 X: 0.187812	 Y:0.876394	 vel:  0.896292	-0.295952
0.6'	 X: 0.187812	 Y:0.876394	 vel:  0.896292	-0.295952
0.62'	 X: 0.187812	 Y:0.876394	 vel:  0.896292	-0.295952
0.64'	 X: 0.146763	 Y:0.651727	 vel:  0.668047	-0.287311
0.66'	 X: 0.146763	 Y:0.651727	 vel:  0.668047	-0.287311
0.68'	 X: 0.146763	 Y:0.651727	 vel:  0.668047	-0.287311
0.7'	 X: 0.155562	 Y:0.766044	 vel:  0.78168	-0.330797
0.72'	 X: 0.155562	 Y:0.766044	 vel:  0.78168	-0.330797
0.74'	 X: 0.155562	 Y:0.766044	 vel:  0.78168	-0.330797
0.76'	 X: 0.135027	 Y:0.730216	 vel:  0.742596	-0.330797
0.78'	 X: 0.135027	 Y:0.730216	 vel:  0.742596	-0.330797
0.8'	 X: 0.135027	 Y:0.730216	 vel:  0.742596	-0.330797
0.82'	 X: 0.150491	 Y:0.689227	 vel:  0.705466	-0.330797
0.84'	 X: 0.150491	 Y:0.689227	 vel:  0.705466	-0.330797
0.86'	 X: 0.150491	 Y:0.689227	 vel:  0.705466	-0.330797
0.88'	 X: 0.14864	 Y:0.653502	 vel:  0.670193	-0.330797
0.9'	 X: 0.14864	 Y:0.653502	 vel:  0.670193	-0.330797
0.92'	 X: 0.14864	 Y:0.653502	 vel:  0.670193	-0.330797
0.94'	 X: 0.133384	 Y:0.622554	 vel:  0.636683	-0.330797
0.96'	 X: 0.133384	 Y:0.622554	 vel:  0.636683	-0.330797
0.98'	 X: 0.133384	 Y:0.622554	 vel:  0.636683	-0.330797
1'	 X: 0.143887	 Y:0.587485	 vel:  0.604849	-0.330797
1.02'	 X: 0.143887	 Y:0.587485	 vel:  0.604849	-0.330797
1.04'	 X: 0.143887	 Y:0.587485	 vel:  0.604849	-0.330797
1.06'	 X: 0.12509	 Y:0.560825	 vel:  0.574606	-0.330797
1.08'	 X: 0.12509	 Y:0.560825	 vel:  0.574606	-0.330797
1.1'	 X: 0.12509	 Y:0.560825	 vel:  0.574606	-0.330797
1.12'	 X: 0.120892	 Y:0.532321	 vel:  0.545876	-0.330797
1.14'	 X: 0.120892	 Y:0.532321	 vel:  0.545876	-0.330797
1.16'	 X: 0.120892	 Y:0.532321	 vel:  0.545876	-0.330797
1.18'	 X: 0.12562	 Y:0.503137	 vel:  0.518582	-0.330797
1.2'	 X: 0.12562	 Y:0.503137	 vel:  0.518582	-0.330797
1.22'	 X: 0.12562	 Y:0.503137	 vel:  0.518582	-0.330797
1.24'	 X: 0.110206	 Y:0.480168	 vel:  0.492653	-0.330797
1.26'	 X: 0.110206	 Y:0.480168	 vel:  0.492653	-0.330797
1.28'	 X: 0.110206	 Y:0.480168	 vel:  0.492653	-0.330797
1.3'	 X: 0.114809	 Y:0.45372	 vel:  0.46802	-0.330797
1.32'	 X: 0.114809	 Y:0.45372	 vel:  0.46802	-0.330797
1.34'	 X: 0.114809	 Y:0.45372	 vel:  0.46802	-0.330797
1.36'	 X: 0.115846	 Y:0.429262	 vel:  0.444619	-0.330797
1.38'	 X: 0.115846	 Y:0.429262	 vel:  0.444619	-0.330797
1.4'	 X: 0.115846	 Y:0.429262	 vel:  0.444619	-0.330797
1.42'	 X: 0.100064	 Y:0.410365	 vel:  0.422388	-0.330797
1.44'	 X: 0.100064	 Y:0.410365	 vel:  0.422388	-0.330797
1.46'	 X: 0.100064	 Y:0.410365	 vel:  0.422388	-0.330797
1.48'	 X: 0.105311	 Y:0.387203	 vel:  0.401269	-0.330797
1.5'	 X: 0.105311	 Y:0.387203	 vel:  0.401269	-0.330797
1.52'	 X: 0.105311	 Y:0.387203	 vel:  0.401269	-0.330797
1.54'	 X: 0.0922245	 Y:0.369881	 vel:  0.381205	-0.330797
1.56'	 X: 0.0922245	 Y:0.369881	 vel:  0.381205	-0.330797
1.58'	 X: 0.0922245	 Y:0.369881	 vel:  0.381205	-0.330797
1.6'	 X: 0.0824133	 Y:0.352643	 vel:  0.362145	-0.330797
1.62'	 X: 0.0824133	 Y:0.352643	 vel:  0.362145	-0.330797
1.64'	 X: 0.0824133	 Y:0.352643	 vel:  0.362145	-0.330797
1.66'	 X: 0.0889405	 Y:0.332343	 vel:  0.344038	-0.330797
1.68'	 X: 0.0889405	 Y:0.332343	 vel:  0.344038	-0.330797
1.7'	 X: 0.0889405	 Y:0.332343	 vel:  0.344038	-0.330797
1.72'	 X: 0.0745395	 Y:0.318223	 vel:  0.326836	-0.330797
1.74'	 X: 0.0745395	 Y:0.318223	 vel:  0.326836	-0.330797
1.76'	 X: 0.0745395	 Y:0.318223	 vel:  0.326836	-0.330797
1.78'	 X: -0.100032	 Y:0.18692	 vel:  0.212004	-0.395599
1.8'	 X: -0.100032	 Y:0.18692	 vel:  0.212004	-0.395599
1.82'	 X: -0.100032	 Y:0.18692	 vel:  0.212004	-0.395599
1.84'	 X: -0.113245	 Y:0.214113	 vel:  0.242216	-0.373998
1.86'	 X: -0.113245	 Y:0.214113	 vel:  0.242216	-0.373998
1.88'	 X: -0.113245	 Y:0.214113	 vel:  0.242216	-0.373998
1.9'	 X: -0.201692	 Y:-0.216017	 vel:  0.295538	-0.300924
1.92'	 X: -0.201692	 Y:-0.216017	 vel:  0.295538	-0.300924
1.94'	 X: -0.201692	 Y:-0.216017	 vel:  0.295538	-0.300924
1.96'	 X: -0.206698	 Y:0.0744721	 vel:  0.219704	-0.283348
1.98'	 X: -0.206698	 Y:0.0744721	 vel:  0.219704	-0.283348
2'	 X: -0.206698	 Y:0.0744721	 vel:  0.219704	-0.283348
2.02'	 X: -0.279612	 Y:-0.202408	 vel:  0.345184	-0.31725
2.04'	 X: -0.279612	 Y:-0.202408	 vel:  0.345184	-0.31725
2.06'	 X: -0.279612	 Y:-0.202408	 vel:  0.345184	-0.31725
2.08'	 X: -0.348344	 Y:-0.437298	 vel:  0.559082	-0.318632
2.1'	 X: -0.348344	 Y:-0.437298	 vel:  0.559082	-0.318632
2.12'	 X: -0.348344	 Y:-0.437298	 vel:  0.559082	-0.318632
2.14'	 X: -0.312004	 Y:-0.0287702	 vel:  0.313328	-0.299482
2.16'	 X: -0.312004	 Y:-0.0287702	 vel:  0.313328	-0.299482
2.18'	 X: -0.312004	 Y:-0.0287702	 vel:  0.313328	-0.299482
2.2'	 X: -0.369331	 Y:-0.298595	 vel:  0.474936	-0.268602
2.22'	 X: -0.369331	 Y:-0.298595	 vel:  0.474936	-0.268602
2.24'	 X: -0.369331	 Y:-0.298595	 vel:  0.474936	-0.268602
2.26'	 X: -0.359992	 Y:-0.0424531	 vel:  0.362486	-0.248443
2.28'	 X: -0.359992	 Y:-0.0424531	 vel:  0.362486	-0.248443
2.3'	 X: -0.359992	 Y:-0.0424531	 vel:  0.362486	-0.248443
2.32'	 X: -0.334466	 Y:0.18247	 vel:  0.381002	-0.287747
2.34'	 X: -0.334466	 Y:0.18247	 vel:  0.381002	-0.287747
2.36'	 X: -0.334466	 Y:0.18247	 vel:  0.381002	-0.287747
2.38'	 X: -0.398393	 Y:-0.172301	 vel:  0.434056	-0.303486
2.4'	 X: -0.398393	 Y:-0.172301	 vel:  0.434056	-0.303486
2.42'	 X: -0.398393	 Y:-0.172301	 vel:  0.434056	-0.303486
2.44'	 X: -0.355769	 Y:0.164689	 vel:  0.392038	-0.226807
2.46'	 X: -0.355769	 Y:0.164689	 vel:  0.392038	-0.226807
2.48'	 X: -0.355769	 Y:0.164689	 vel:  0.392038	-0.226807
2.5'	 X: -0.395307	 Y:-0.059105	 vel:  0.399701	-0.214267
2.52'	 X: -0.395307	 Y:-0.059105	 vel:  0.399701	-0.214267
2.54'	 X: -0.395307	 Y:-0.059105	 vel:  0.399701	-0.214267
2.56'	 X: -0.430892	 Y:-0.257132	 vel:  0.501782	-0.307436
2.58'	 X: -0.430892	 Y:-0.257132	 vel:  0.501782	-0.307436
2.6'	 X: -0.430892	 Y:-0.257132	 vel:  0.501782	-0.307436
2.62'	 X: -0.390519	 Y:0.0716271	 vel:  0.397034	-0.219846
